id,longitude,latitude,tmcf,remove,country,realm,elevation,cloud,temperature,min_temperature,max_temperature,tr,strd,dewpoint,pressure,ssrd,precipitation,rwca,vswc,ET,PET
101,-89.800014,13.899986,Laguna Las Ninfas,,SLV,Neotropic,1117,0.0008346002,0.010006193,0.009398392,0.009470756,478.47806,464.45316,0.010407665,0.6472072,248.99214,0.024160326,9.475438E-05,0.00021670714,0,0
102,-90.883319,14.466681,Volcán de Fuego,,GTM,Neotropic,3193,0.00072960794,0.008361042,0.008168409,0.008187669,420.73767,395.66513,0.010022424,0.58607453,364.43332,0.02809286,0.00019582511,0.00021872306,0,0
103,-81.766681,8.499986,Cerro Santiago,,PAN,Neotropic,1658,0.00056620425,0.008254446,0.008592102,0.008655292,466.4224,233.49438,0.006714683,0.5537063,449.77576,0.04695424,6.951131E-05,0.0002599132,0,0
104,-79.400014,9.149986,Cerro Azul,,PAN,Neotropic,415,0.00046857694,0.008338784,0.0078844065,0.007964237,349.1297,181.96887,0.006802809,0.71713215,510.532,0.026727272,0.00020335945,0.00025150712,0,0
105,-79.550014,9.466681,Cerro Bruja,,PAN,Neotropic,420,0.0005575355,0.0074690427,0.0071375743,0.0071050655,324.3727,175.9929,0.0067347167,0.67052335,582.6883,0.04711995,0.0002948953,0.00021984203,0,0
106,-79.366681,9.233319,Cerro Jefe,,PAN,Neotropic,679,0.000452681,0.008425681,0.007796813,0.00783532,348.77493,181.24886,0.0070971954,0.68981326,529.1745,0.03634646,0.00021468684,0.00027799496,0,0
107,-82.750014,8.899986,Cerro Pando,,PAN,Neotropic,1870,0.00087204925,0.008603231,0.009382977,0.009389608,442.43118,221.80292,0.008043556,0.48596418,381.95337,0.034796875,0.00013117417,0.00020827065,0,0
108,-80.699986,7.283319,Cerro Hoya,,PAN,Neotropic,599,0.001120905,0.0090691745,0.009276166,0.009506033,484.24942,236.34792,0.0065733255,0.8494787,437.38455,0.023070378,6.531583E-05,0.00015531815,0,0
109,-77.300014,8.149986,Cerro Tacarcuna,,PAN,Neotropic,1760,0.0006549242,0.009837807,0.009918995,0.010078534,517.9499,262.102,0.0073267994,0.7328193,471.9628,0.031123826,5.6358047E-05,0.00035814717,0,0
110,-77.716681,7.866681,Cerro Pirre,,PAN,Neotropic,896,0.00058792497,0.010056361,0.010087111,0.010359702,531.1259,169.3604,0.007440943,0.7479243,693.4162,0.029715631,0.00013797736,0.00042061086,0,0
111,-78.383319,7.949986,Cerro Sapo,,PAN,Neotropic,316,0.0006663094,0.008291376,0.008386681,0.008547092,356.01575,230.38374,0.0062458394,0.82703865,372.68735,0.036595948,7.6255325E-05,0.00020154228,0,0
